disease,symptom
cholestasis of pregnancy,appetit eye jaundic loss nausea skin white yellow
thunderclap headaches,accompani alter fever mental nausea peak second seizur sever state strike sudden vomit
child abuse,absenc activ aggress anger anxieti appar attempt away behavior chang confid defiant depress fear frequent friend harm home hostil hyperact lack leav loss perform rebelli reluct run school self sudden suicid supervis unusu usual want withdraw
indigestion,abdomen abl anemia appetit area arm black bloat blood breastbon breath buildup burn chest discomfort earli eat eaten exert fatigu feel finish full gas get heat indic jaw last longer loss meal mild nausea navel neck pain progress radiat repeat sensat sever short stool stress swallow sweat tarri tight troubl uncomfort unintent upper vomit want weak weight wors
oppositional defiant disorder (odd),activ adult angri annoy argu author behavior blame compli defi deliber easili frequent home lose mild misbehavior mistak moder month occur past peer peopl refus request resent rule school set sever shown spite symptom temper touchi twice upset vindict work
broken heart syndrome,breath chest pain short
obstructive sleep apnea,abrupt accompani awaken blood breath chang choke concentr day daytim decreas depress difficulti dri episod excess experienc gasp headach high irrit libido loud mood morn mouth nighttim observ pressur sleep sleepi snore sore stop sweat throat
ebstein anomaly,abnorm arrhythmia bluish breath caus cyanosi discolor especi exert fatigu heart lip low oxygen palpit rhythm short skin
cervical spondylosis,arm bladder bowel control coordin difficulti feet hand lack leg loss numb tingl walk weak
thrombocytopenia (low platelet count),appear bleed blood bruis cut easi enlarg excess fatigu flow gum heavi leg lower menstrual nose petechia pinpoint prolong purpl purpura rash reddish size skin spleen spot stool superfici unusu urin usual
drug addiction (substance use disorder),activ afford amount attempt block caus certain continu cut daili day deal drive drug effect experienc fail feel get good harm have influenc intend intens know larger life longer maintain make meet money need normal oblig period physic problem psycholog recov recreat regular respons riski social spend steal stop suppli symptom take thing thought time urg use withdraw work
miscarriage,abdomen bleed cramp fluid lower pain pass spot tissu vagin vagina
antisocial personality disorder,abus aggress agit ahead anim arrog behavior callous charm consequ consid consist crimin cynic danger deceit destruct dishonesti disregard disrespect empathi exploit extrem fail failur financi fulfil gain harm hostil impuls includ intimid irrespons irrit lack law learn lie manipul negat oblig opinion peopl persist person plan pleasur poor problem properti recur regard relationship remors repeat right risk rule safeti self sens signific superior take theft unnecessari violat violenc wit work wrong
renal artery stenosis,abnorm age begin blood bodi bruit control doctor elev explan failur flow fluid function hard hear heart high kidney level narrow overload place pressur protein resist sign sound stethoscop sudden swell tissu treatment urin vessel whoosh worsen
tinnitus,auditori blood bone brain buzz caus click common condit contract doctor ear examin hear hiss hum inner interpret middl muscl nerv object outer pathway problem rare ring roar signal sound subject tinnitus type vessel
tennis elbow,coffe cup doorknob grip hand hold object shake turn
churg-strauss syndrome,abdomin appetit bleed blood breath cough fatigu feel feet fever gastrointestin general hand hay joint loss muscl numb pain rash sever short skin sore stool tingl unwel urin weak weight
muscle strains,bruis limit motion muscl pain red spasm swell tender weak
generalized anxiety disorder,ach anxieti anxious approv area asid avoid behavior blank bowel case catastroph complaint concentr concern confid decis depress diarrhea difficulti drink drug earthquak easili edg emerg event excess famili fatigu fear feel fit frequent go goe handl health homework immedi impact inabl indecis interf irrit key lack let life like lot make member mental mind muscl nausea nervous nuclear number outcom over overthink part perceiv perfect perfectionist perform persist physic plan possibl proport punctual reassur redo relationship relax requir restless safeti school seek set situat sleep social solut spend sport startl stomachach strive suicid sweat syndrom task tension thought threaten time treatment trembl troubl twitchi uncertainti war work worri worst wrong
e. coli,bloodi cramp diarrhea mild nausea pain peopl rang sever stomach tender vomit wateri
peptic ulcer,appear appetit belch black bloat blood breath burn chang dark faint fatti feel food full heartburn intoler loss nausea pain red stomach stool tarri troubl unexplain vomit weight
carpal tunnel syndrome,affect control drop electr experi feel finger hand index like littl median middl muscl nerv notic numb object pinch ring sensat shock thumb tingl usual weak
type 2 diabetes,area armpit blur darken fatigu frequent heal hunger increas infect loss neck skin slow sore thirst unintend urin usual vision weight
angelman syndrome,age arm asleep babbl balanc begin behavior color crawl delay development difficulti disabl excit eye flap flat frequent go hair hand happi head includ intellectu jerki laughter light minim month move movement person problem seizur size skin sleep small smile speech stay stiff thrust tongu troubl unusu uplift usual walk year
adjustment disorders,activ anxious appetit avoid behavior bill concentr cri daili difficulti enjoy feel frequent function go hopeless import jitteri lack nervous overwhelm pay sad sleep social stress suicid support thing thought troubl withdraw work worri
encephalitis,ach agit area bodi bulg certain coma confus conscious face fatigu feed fever fontanel hallucin headach hear includ infant irrit joint loss muscl nausea paralysi poor problem seizur sensat skull soft speech spot stiff vomit wake weak
narcissistic personality disorder,achiev adapt admir advantag angri appear arrog associ beauti behav behavior believ belittl best boast brillianc car chang come complianc conceit constant contempt convers deal depress difficulti easili emot entitl envi envious equal exagger excess expect experi fall fantasi favor feel haughti have humili impati import inabl inferior insecur insist instanc interperson look major manner mate monopol moodi need offic peopl perceiv perfect person power preoccupi pretenti problem rage react receiv recogn regul requir secret self sens shame short signific slight special stress success superior talent treatment tri unquest unwilling vulner want warrant
hand-foot-and-mouth disease,appetit blister buttock cheek feel fever gum infant insid irrit itch lesion like loss pain palm rash red sole sore throat toddler tongu unwel
pancreatic cancer,abdomin appetit blood clot color control dark diabet diagnosi difficult exist eye fatigu itchi jaundic light loss new pain radiat skin stool unintend urin weight white yellow
mesenteric lymphadenitis,abdomin center diarrhea enlarg fever general lower lymph mesenter nausea node pain right tender vomit widespread
tourette syndrome,adulthood anxious brief chang complex coordin distinct earli excit frequenc group ill improv involv limit movement muscl number occur pattern repetit sever simpl sleep stress sudden teenag tic time tire transit type vari worsen year
low blood pressure (hypotension),blur concentr dizzi fade faint fatigu lack lightheaded nausea vision
ingrown toenails,blood caus condit diabet discomfort experi feet flow foot infect nail pain poor pus red sever side sore spread swell tender tissu toe toenail
epididymitis,abdomen area blood come common discharg discomfort fever frequent gradual lower need pain pelvic peni red scrotum semen swollen tender testicl urgent urin usual warm
vasovagal syncope,abnorm blur clammi cold dilat feel field jerki lightheaded movement narrow nausea pale puls pupil skin slow sweat tunnel vision warm weak yawn
osteomyelitis,area fatigu fever infect pain red swell warmth
posterior vaginal prolapse (rectocele),bowel bulg complet concern difficulti embarrass empti feel full have loos movement open pressur protrud rectal rectum sens sensat sexual soft tissu tone vagin vagina
essential thrombocythemia,bleed bloodi bruis burn chang chest dizzi faint feet gum hand headach lightheaded mouth noseble numb pain red stool temporari throb tingl vision
concussion,adjust amnesia appear ask blurri chang complaint concentr confus conscious daze delay depress disord disturb dizzi drowsi ear event fatigu feel fog forget headach irrit light loss memori nausea nois occur person problem psycholog question repeat respons ring see sensit sleep slur smell speech star surround tast temporari traumat vision vomit
illness anxiety disorder,activ alarm appoint avoid bodi care caus check condit constant develop diagnos diseas distress doctor easili excess famili fear find frequent function get hard have health ill internet littl make mean medic minor negat peopl place possibl preoccupi reassur repeat result risk run search sensat sign specif status symptom talk test visit worri
ovarian cancer,abdomin area bloat bowel chang constip discomfort eat feel frequent habit loss need pelvi quick swell urin weight
primary ovarian insufficiency,birth concentr control decreas desir develop difficulti dri dryness eye flash get hot irregular irrit night period pill pregnanc pregnant present sexual skip stop sweat vagin year
bladder exstrophy,abdomin affect anus beec bladder bodi bone caus cloacal condit correct defect develop digest end epispadia expel exstrophi fee fetus final form fulli genit insid intestin involv kloe kul larg occur open organ outsid pelvic rectum reproduct section separ sever stroh system tract tube turn urethra urin urinari usual wall
blepharitis,appear blink blur burn crust eye eyelash eyelid flake frequent greasi gritti improv itchi light red sensat sensit skin stick sting swollen usual vision wateri
sheehan's syndrome,blood breast difficulti fatigu feed function gain hair heartbeat hypothyroid inabl infrequ irregular low menstrual menstruat mental period pressur pubic regrow result shave shrinkag slow stay sugar thyroid underact warm weight
pyloric stenosis,abdomen away babi blood bowel breast caus chang condit constip contain contract cri dehydr diaper eat eject expect feed feet fewer find food forc formula gain gradual hunger intestin letharg loss mild milk movement muscl narrow notic open peristalsi persist prevent problem projectil pylor pylorus reach rippl sever soon stenosi stomach tear tri upper vomit want wavelik weight wet
coma,brainstem breath close depress eye irregular light limb movement pain pupil reflex respond respons stimuli
hyperoxaluria and oxalosis,area away blood chill fever flank frequent pain rib sever sudden urg urin
tuberculosis,activ appetit bacteria billion blood bodi breath call case caus chest chill condit contagi control cough estim fatigu fever help import inact infect last latent later loss make night occur pain peopl person remain sick spread state sweat symptom treatment turn unintent week weight year
sarcoma,abdomin bone broken felt happen injuri loss lump minor pain skin unexpect weight
arteriosclerosis / atherosclerosis,angina arm arteri atherosclerosi attack blood brain chest claudic develop difficulti diseas droop eye face failur heart high ischem kidney lead left leg loss muscl numb pain peripher pressur progress sign signal slur speak speech stroke sudden symptom temporari tia transient untreat vision walk weak
atelectasis,breath cough difficulti rapid shallow wheez
fever,ach appetit chill dehydr general headach irrit loss muscl shiver sweat weak
sleep apnea,air asleep attent awak awaken breath daytim difficulti dri episod excess gasp headach hypersomnia insomnia irrit loud morn mouth pay person report sleep sleepi snore stay stop
sick sinus syndrome,bradycardia breath chest confus discomfort dizzi faint fatigu flutter heartbeat lightheaded near normal pain palpit puls rapid sensat short slower
constipation,abdomen blockag bowel complet feel fewer finger hand hard have help lumpi movement need pass press prevent rectum remov stool strain week
bruxism (teeth grinding),actual cheek chew chip clench close complet damag deeper disrupt dull ear earach enamel expos face feel flatten fractur grind headach increas insid jaw layer like lock loos loud muscl neck open pain partner problem sensit sleep sore start teeth templ tight tire tooth wake worn
retinal detachment,appear blur curtain drift eye field flash floater gradual light like peripher photopsia reduc shadow speck sudden tini vision visual
meralgia paresthetica,burn later numb outer pain surfac thigh tingl
glomerulonephritis,abdomen blood cell cola color edema evid excess face feet fluid foami hand hematuria high hypertens pink pressur protein proteinuria red retent swell urin
esophageal spasms,angina chest cold difficulti esophagus extrem feel food heart hot intens liquid mistak object pain red regurgit relat return solid specif squeez stuck substanc swallow throat wine
sweating and body odor,appar begin bodi chang daili disrupt experi night notic odor reason routin sudden sweat usual
anxiety disorders,activ actual affect agoraphobia anxieti attack avoid breath caus certain character chest child childhood children circumst close concentr concern condit conscious consist control criteria danger depress desir development difficult difficulti direct disord disrupt distress doom drug embarrass episod event exact excess experienc expos failur famili fear feel flutter foe function gastrointestin general happen have health heart helpless high home hyperventil impend includ increas induc intens interfer involv issu judg lead level major medic meet member minut misus mutism negat nervous object occur ordinari pain palpit panic parent peak peopl persist phobia physic place pound present problem proport provok rapid rate reach relat repeat restless result role routin ruh school select self sens separ short signific situat sleep social speak specif specifi substanc sudden sweat symptom take tens term terror thing think tire toxic trap trembl trigger troubl type unspecifi urg view weak withdraw work worri
depression (major depressive disorder),activ agit angri anxieti appetit attempt blame bodi concentr crave death decis disturb effort empti energi extra failur feel fixat food frequent frustrat gain guilt headach hobbi hopeless includ increas insomnia interest irrit lack loss make matter movement normal outburst pain past physic pleasur problem recurr reduc rememb restless sad self sex sleep slow small speak sport suicid task tear thing think thought tired troubl unexplain weight worthless
phantom pain,affect amput bodi burn come continu cramp crush delay describ farthest foot goe leg limb longer month needl onset pain pin shoot stab symptom throb week
atrial septal defect (asd),abdomen beat breath especi exercis fatigu feet heard heart leg murmur palpit short skip sound stethoscop stroke swell whoosh
brain metastases,bodi chang headach increas memori mental nausea numb problem seizur vomit weak
orchitis,feel fever general malais mild nausea pain rang sever swell testicl unwel vomit
ingrown hair,blister bump darken embed fill hair hyperpigment itch lesion like pain papul pus pustul round skin small solid
epidermolysis bullosa,alopecia appear atroph blister bump decay dental difficulti dysphagia easili enamel especi feet form fragil hair hand insid itchi loss milia mouth nail pain palm pimpl poor problem scalp scar skin sole swallow thick thicken thin throat tini tooth white
pulmonary hypertension,abdomen ankl ascit bluish breath chest color cyanosi dizzi dyspnea edema eventu exercis faint fatigu heart initi leg lip pain palpit pressur puls race rest short skin spell swell syncop
varicocele,cours day discomfort dull especi exert fertil impair increas lie long period physic reliev sharp stand vari worsen
female sexual dysfunction,achiev activ arous associ common contact desir difficulti disord dysfunct femal intact interest involv lack low maintain ongo orgasm pain persist recurr sex sexual stimul suffici unabl vagin willing
epilepsy,anxieti arm awar confus conscious deja fear jerk leg loss movement psychic spell stare symptom temporari uncontrol
psoriatic arthritis,achill arthriti attach bone call caus condit deform develop especi fasciiti feet finger foot hand have heel inflamm joint ligament like lower main pain pelvi peopl plantar point psoriat result sacroili sausag signific sole spine spondyl swell swollen symptom tendin tendon toe vertebra
coronavirus disease 2019 (covid-19),ach arteri asthma blood bone brain breath cancer cardiomyopathi cell chest chill chronic condit conjunct copd coronari cough cystic diabet difficulti diseas eye failur fever fibrosi headach heart high hiv immun kidney liver lung marrow medic muscl nervous nose obes obstruct organ overweight pain pink pregnanc pressur pulmonari runni sever short sickl smoke solid sore system throat tired transplant type weaken
legg-calve-perthes disease,activ groin hip improv joint knee limit limp motion pain rang rest stiff thigh worsen
frostbite,affect afterward appear area begin black blister bluish burn case clumsi cold continu damag deep die discomfort experi exposur feel fill fluid form frostbit frostnip gray grayish hard hour includ involv joint larg layer lead lie longer look lose mild mottl muscl notic numb pain pale perman prickl progress red redden rewarm sensat sever sign skin stage stiff sting superfici surfac swell tingl tissu treat turn warm waxi white work yellow
congenital heart disease in adults,abnorm arrhythmia bluish bodi breath cyanosi edema exert fingernail heart lip organ quick rhythm short skin swell tint tire tissu
ten,area blister bodi cover crust eye includ larg membran mouth mucous pain peel rash skin sore spread swell vagina widespread
alcohol intolerance,asthma blood bump diarrhea exist facial flush hive itchi low nausea nose pre pressur red runni skin stuffi vomit worsen
throat cancer,chang clear cough difficulti ear heal hoars loss lump pain sore speak swallow throat voic weight
cytomegalovirus (cmv) infection,afterward babi birth bone born breast cell cmv congenit group hiv immun includ infant infect marrow milk newborn organ peopl perinat short stem system transplant weaken
epidermoid cysts,area blackhead bump central cyst drain face infect inflam materi neck open plug red round skin small smelli swell tender thick tini trunk usual yellow
exercise-induced asthma,activ athlet avoid breath chest children cough exercis expect fatigu pain perform poorer primarili short sign tight wheez young
mixed connective tissue disease,appear arthriti blue brown cold deform fatigu feel fever finger general hand includ increas inflam joint knuckl mild muscl numb occur pain patch peopl phenomenon purplish rash raynaud red reddish respons rheumatoid similar stress swell swollen toe turn unwel warm white
giardia infection (giardiasis),altern bloat cramp diarrhea fatigu foul gas greasi loss nausea smell soft stomach stool wateri weight
lichen planus,ankl blister break bump chang color crust damag flat forearm form genit hair inner itch laci lip loss mouth nail pain patch purplish scab scalp sore tongu vagina white wrist
broken wrist,bent bruis deform grip hand move obvious pain sever squeez swell tender worsen wrist
myelodysplastic syndromes,anemia beneath bleed blood breath bruis caus cell count easi fatigu frequent infect leukopenia low occur pale pallor petechia pinpoint platelet red short size skin spot thrombocytopenia unusu white
chondrosarcoma,bone fractur increas mass pain palpabl swell weaken
carotid artery disease,balanc bodi caus dizzi eye face headach known limb loss numb see sever speak sudden troubl understand weak
myofascial pain syndrome,ach deep difficulti knot muscl pain persist sleep tender worsen
reactive attachment disorder,appear ask assist close comfort engag fail failur fear game given interact interest irrit listless peekaboo pick play reach respons sad seek show smile social support unexplain watch withdraw
cutaneous t-cell lymphoma,appear bodi break color enlarg entir feet form hair hand intens itchi lighter like loss lump lymph node open palm patch rais rash red round scali skin sole surround thicken
lichen sclerosus,bleed blister blotchi case discomfort itch pain patch pruritus red sever sex skin smooth sore tear ulcer white wrinkl
wilson's disease,abdomen abdomin appetit brown buildup coordin discolor eye fatigu fleischer fluid golden jaundic kayser lack leg movement muscl pain physic problem ring skin speech stiff swallow uncontrol white yellow
ringworm (scalp),area black brittl broken dot easili enlarg expand fragil gray hair pain patch pull redden round scali scalp skin slowli small tender
roseola,abdomen appear appetit arm chest child children consist cough day decreas develop diarrhea eyelid face fade fever flat general greater high hour infant irrit itchi last leg lymph mild neck node nose patch pink preced rais rash reach ring roseola runni small sore spot spread start subsid sudden swollen throat typic uncomfort usual white
tooth abscess,abscess bite breath cheek chew cold difficulti ear face fever fluid foul hot jaw jawbon lymph mouth neck node pain persist pressur radiat relief ruptur rush salti sensit sever smell sudden swallow swell swollen tast temperatur tender throb toothach
behcet's disease,abdomin acnelik affect aneurysm ankl arm arteri away balanc begin behcet bleed blockag blood blur bodi brain canker caus clot come common complic condit develop diarrhea digest diseas disorient elbow especi eye fever genit headach heal includ inflamm involv joint knee larg lead leav leg lesion look lower mouth narrow nervous nodul occur open pain peopl poor quick rais recur red result round scar scrotum sign similar skin sore stroke swell symptom system tender turn typic ulcer usual uveiti varieti vein vessel vision vulva week wrist
peritonitis,abdomen abdomin appetit bloat cloudi clump confus dialysi diarrhea fatigu feel fever fibrin fleck fluid full gas inabl loss low nausea output pain pass stool strand tender thirst urin vomit white
tmj disorders,ach chew close difficult difficulti ear facial jaw joint lock make mouth open pain temporomandibular tender
fibroadenoma,border distinct easili firm move painless round rubberi smooth
chronic myelogenous leukemia,appetit bleed bone easi eat excess feel fever food full left loss night pain rib run sleep small sweat tire tri weight
metatarsalgia,ach ball barefoot burn especi feel feet flex foot hard have improv numb pain pebbl rest run sharp shoe shoot sole stand surfac tingl toe walk worsen
actinic keratosis,affect area brown bump burn case centimet color diamet dri flat hard inch itch layer patch pink rais red rough scali skin slight surfac usual vari wartlik
hirsutism,acn bald breast clitori decreas deepen enlarg increas mass muscl size voic
bartholin's cyst,discomfort fever intercours lump near open pain sit tender vagin walk
childhood asthma,air asleep bout breath bronchiti chest child cold congest cough delay exercis fatigu flu frequent hamper infect occur play poor recoveri respiratori short sleep sound tight trigger troubl viral wheez whistl wors worsen
intestinal obstruction,abdomen abdomin appetit bowel come constip crampi gas goe inabl loss movement pain pass swell vomit
small bowel cancer,abdomin appear black blood diarrhea eye feel flush jaundic lose nausea pain red skin stool tire tri unusu vomit wateri weak weight white yellow
amyotrophic lateral sclerosis (als),activ ankl arm behavior chang clumsi cognit cramp cri daili difficulti fall feet hand inappropri laugh leg muscl normal shoulder slur speech swallow tongu trip troubl twitch walk weak yawn
mumps,ach appetit chew face fatigu fever gland headach loss muscl pain salivari side swallow swollen weak
hyperparathyroidism,abdomin appar appetit bone caus complaint depress easili excess forget frequent ill joint kidney loss nausea osteoporosi pain stone tire urin vomit weak
dry socket,bad blood bone breath clot come day dri ear extract eye face foul look loss mouth neck notic odor pain partial radiat sever site socket tast templ tooth total unpleas visibl
deep vein thrombosis (dvt),affect calf cramp discolor feel leg like pain rare red skin sore start swell warmth
food allergy,abdomin airway blood bodi breath congest conscious constrict diarrhea difficult dizzi drop eczema face faint hive itch lightheaded lip loss lump make mouth nasal nausea pain part pressur puls rapid sensat sever shock swell swollen throat tighten tingl tongu troubl vomit wheez
hearing loss,ask avoid background clear conson convers crowd difficulti especi frequent hear loud muffl need nois radio set slowli social sound speak speech televis troubl turn understand volum withdraw word
mild cognitive impairment (mci),accomplish aggress anxieti apathi appoint book chang convers decis depress engag environ event famili familiar feel find forget friend import impuls increas instruct irrit judgment lose make movi notic overwhelm plan poor social start step task thing thought thread train troubl understand way
premature ventricular contractions (pvcs),awar beat flutter heartbeat increas jump miss pound skip
eye floaters,appear background blue bright dark drift eventu eye field float knobbi line look materi notic plain quick settl shape sky small speck spot string transpar tri vision visual wall white
small vessel disease,abdomen activ angina arm associ breath chest daili discomfort energi jaw lack left neck pain short squeez stress time tired worsen
peripheral artery disease (pad),activ calf certain chang claudic climb cold color compar cramp dysfunct erectil especi feet foot growth hair heal hip leg loss lower men muscl numb pain puls shini skin slower sore stair thigh toe toenail walk weak
aortic valve stenosis,abnorm activ angina aortic breath chest children dizzi eat especi faint fatigu feel flutter gain heard heart heartbeat increas main murmur pain palpit rapid sensat short sound stenosi stethoscop tight time valv weight
benign paroxysmal positional vertigo (bppv),balanc dizzi loss move nausea sens spin surround unsteadi vertigo vomit
rhabdomyosarcoma,affect area arm bleed blood bowel bulg difficulti ear eye headach leg lump mass movement nose pain rectum swell throat troubl urin vagina
pinworm infection,anal area grind insomnia irrit itch nausea occasion pain restless stomach teeth vagin
dandruff,beard cap cradl crusti eyebrow flake hair infant itchi mustach scali scalp shoulder skin
colon polyps,abdomin allow anemia anus appear black bleed blood bodi bowel breath cancer carri caus cell chang chronic colon color condit constip crampi defici diarrhea feel food habit hemoglobin hemorrhoid indic iron larg last lead longer medic minor need number obstruct occur oxygen pain partial polyp presenc produc rectal red result rob short sign slowli stool streak substanc supplement tear time tire visibl week
dermatomyositis,affect arm bodi chang chest closest color common dermatomyos develop duski elbow eyelid face gradual hip involv itchi knee knuckl left muscl neck pain progress rash red right shoulder side sign skin tend thigh trunk upper violet weak worsen
cystitis,abdomen amount blood burn cloudi discomfort feel fever frequent grade hematuria low lower pass pelvic persist pressur sensat small smell strong urg urin
type 1 diabetes in children,bed behavior breath chang child extrem fatigu frequent fruiti hunger increas irrit loss possibl smell thirst toilet train unintent urin weight wet
nail fungus,brittl brown build caus color crumbl dark debri discolor distort foul nail rag shape slight smell thicken whitish yellow
viral gastroenteritis (stomach flu),abdomin ach bloodi cramp diarrhea differ fever grade headach infect low mean muscl nausea nonbloodi occasion pain sever usual vomit wateri
pheochromocytoma,anxieti attack blood breath constip doom face headach heartbeat heavi high loss pale panic pressur rapid sens short sweat symptom tremor type weight
polymyalgia rheumatica,ach affect appetit area arm buttock depress elbow fatigu feel fever general hip inact knee limit loss malais mild morn motion neck pain particular rang shoulder stiff thigh time unintend upper weight wrist
swollen lymph nodes,arthriti bean bodi cancer disord fever fix general grow hard hiv immun indic infect kidney larger lupus lymph lymphoma mononucleosi night node nose occur pain pea possibl rapid respiratori rheumatoid runni size sore sweat swell system tender throat upper
multiple myeloma,appetit bone chest confus constip especi excess fatigu foggi frequent infect leg loss mental nausea numb pain spine thirst weak weight
interstitial cystitis,amount anus bladder chronic day discomfort fill frequent intercours men need night pain pelvi pelvic perineum persist relief scrotum sexual small time urgent urin vagina women
dry mouth,bad breath chang chew dentur difficulti dri dryness feel groov hoars mouth problem saliva sens sore speak sticki stringi swallow tast thick throat tongu wear
transient ischemic attack (tia),arm balanc blind bodi coordin difficulti doubl eye face garbl leg loss numb paralysi slur speech typic understand vertigo vision weak
hemophilia,bleed blood bruis caus cut deep dental excess infant injuri irrit joint known larg noseble pain stool surgeri swell tight unexplain unusu urin vaccin work
ovarian cysts,abdomen abdomin ach bloat cyst dull fever full heavi lower pain pelvic sever sharp sudden vomit
primary immunodeficiency,anemia appetit arthriti autoimmun blood bronchiti count cramp delay develop diabet diarrhea digest disord ear frequent growth infect inflamm intern loss low lupus mening nausea organ platelet pneumonia problem recurr rheumatoid sinus skin type
dust mite allergy,audibl blue bout breath caus chest child cold color congest cough difficulti drip exhal eye facial flu frequent itchi mouth nasal nose pain postnas pressur red respiratori roof rub runni short skin sleep sneez sound swollen throat tight troubl upward virus wateri wheez whistl worsen
autoimmune pancreatitis,abdomen addit affect aip appetit associ autoimmun bowel condit dark discontinu diseas extrem eye feel float full inflammatori jaundic known like loss middl nausea organ pain pale pancrea rapid reason relaps respond skin steroid stool tired toilet treatment type upper urin vomit weak weight yellow
small intestinal bacterial overgrowth (sibo),abdomin appetit bloat diarrhea eat feel full loss malnutrit nausea pain uncomfort unintent weight
multiple sclerosis,bend bladder blurri bodi bowel certain complet coordin dizzi doubl electr especi eye fatigu forward function gait lack leg lhermitt limb loss movement neck numb occur pain part partial problem prolong sensat sexual shock sign slur speech time tingl tremor trunk typic unsteadi usual vision weak
arteriovenous fistula,arm blood bluish bulg club cough decreas failur fatigu finger fingertip heart leg normal pressur purplish rounder similar skin spread swell ting varicos vein
inflammatory breast cancer,ach affect appear arm breast bruis chang collarbon cours dimpl discolor enlarg flatten give heavi inward lymph nippl node orang pain peel pink purpl rapid red ridg similar skin tender thick turn unusu visibl warmth week
rett syndrome,abil abnorm accompani adult age agit air anxieti appar asleep awak begin behavior birth blink bodi bone bout bowel brain breath chang chew child children clap close cloth cognit cold common communic contact continu control coordin crawl cri cross curvatur day death decreas delay develop differ disabl disinterest disturb eeg electroencephalogram eventu evid exampl exhal experi express eye facial factur fall fear feet forc fragil function gradual grasp grind growth hair hand head heartbeat hold hour hyperventil includ increas intellectu intens irregular irrit laughter lick life live long lose loss microcephali movement multipl muscl night nonverb normal occur odd older part pattern peopl period person posit problem prone purposeless rapid reason reduc regain repetit requir result rett rigid rub saliva scoliosi scream seizur sever shallow sign size skill sleep slow small smaller spastic speak speech spine squeez stare sudden surgeri surround swallow symptom syndrom tap teeth tend thin threaten time toy type typic unusu usual varieti wake walk way weak wring year
hypospadias,abnorm appear chorde cover curv downward foreskin half hood locat open peni spray tip urethra urin
irritable bowel syndrome,abdomin appear bloat bowel chang cramp have movement pain pass relat
morton's neuroma,ball burn feel foot numb pain pebbl radiat shoe stand tingl toe
testicular cancer,abdomen ach breast collect discomfort dull enlarg feel fluid groin heavi lump pain scrotum sudden tender testicl
pericardial effusion,abdomen breastbon breath chest difficulti discomfort dyspnea full left leg lie orthopnea pain short swell usual
prescription drug abuse,adderal adhd agit alert alprazolam ambien amphetamin anti anxieti appear appetit attent blood bodi breath certain concentr concerta confus constip contain continu coordin decis decreas deficit dexedrin dextroamphetamin diazepam disord dizzi doctor dose drowsi earli energet euphoria exampl excess feel forg heartbeat high higher hostil hydrocodon hyperact hyperalgesia hypnot increas insomnia irregular lose make medic memori methylphenid mood mydayi nausea norco opioid oxycodon oxycontin pain paranoia percocet poor prescrib prescript pressur problem rate reduc refil relief request requir revv ritalin sedat seek sell sensit sleep slow slur speech steal stimul swing take temperatur treat unsteadi unusu valium walk worsen written xanax zolpidem
lymphoma,armpit breath fatigu fever groin itchi loss lymph neck night node painless persist short skin sweat swell unexplain weight
compulsive sexual behavior,afterward anxieti behavior certain compuls consequ continu control depress driven engag escap establish fantasi feel financi get give guilt healthi import infect intens legal loneli loss lot maintain potenti problem recurr reduc relationship releas remors sexual stabl strain stress tension time transmit tri troubl unsuccess urg use work
specific phobias,accid airplan anim anxieti approach avoid awar blood breath chest children choke cling closer clown control cri difficulti dizzi dog enclos endur exagger expos faint fear feel function get go heartbeat height immedi includ inject injuri insect intens leav loud medic natur nauseat needl nois normal object panic parent physic possibl powerless procedur proxim rapid reaction refus school sensat situat sourc space spider sweat tantrum think thunderstorm tight time unreason vomit worsen
type 2 diabetes in children,area armpit begin blood bloodstream blurri build cell certain child children clear common darken develop diabet drink energi excess exhaust eye fat fatigu fluid focus found frequent high increas lack lens loss muscl neck pull result shrink simpli skin store sugar suppli thirst thirsti tissu type unabl urin usual vision weight
seasonal affective disorder (sad),activ agit appetit chang concentr day death depress difficulti energi enjoy experienc feel frequent guilti have hopeless interest lose low near problem sleep sluggish suicid thought weight worthless
asthma,air airborn allergi asthma attack bothersom breath caus check chemic chest children cockroach cold common cough dander devic difficulti dri dust exercis exhal flow flu frequent fume gase increas induc inhal irrit lung measur meter mold need occup pain particl peak pet pollen quick relief respiratori saliva shed short sign skin sleep spore substanc symptom tight trigger troubl use virus wast wheez work workplac wors worsen
penicillin allergy,anaphylaxi breath eye fever hive itch itchi nose rash runni short skin swell wateri wheez
antibiotic-associated diarrhea,bowel frequent loos movement stool
smallpox,discomfort fatigu fever headach overal pain possibl sever vomit
achalasia,aspir belch chest come cough drink dysphagia feel food goe heartburn inabl like loss lung night pain pneumonia regurgit saliva stuck swallow throat vomit weight
functional neurologic disorders/conversion disorder,abnorm appar balanc blind conscious deaf difficulti doubl episod feel hear inabl loss lump movement nonepilept numb paralysi problem seizur sensat shake slur speak speech swallow throat touch tremor unrespons vision walk weak
supraventricular tachycardia,breath chest dizzi faint flutter heartbeat lightheaded near neck palpit pound rapid sensat short sweat syncop
vaginal cancer,bleed constip discharg exampl frequent intercours lump mass menopaus pain pelvic unusu urin vagin vagina wateri
acute coronary syndrome,abdomen ach angina apprehens arm breath burn chest describ diaphoresi discomfort dizzi dyspnea faint fatigu feel heavi indigest jaw lightheaded nausea neck pain pressur restless short shoulder spread sudden sweat tight unexplain unusu upper vomit
